Epoch,Train Loss,Validation Accuracy
1,0.034365309556569065,1.0
2,4.150258140046925e-05,1.0
3,3.165629332476857e-05,1.0
4,2.4314382923340858e-05,1.0
5,1.6969439753082818e-05,1.0
6,1.2170805687861268e-05,1.0
7,1.0723323642644411e-05,1.0
8,9.787749972298316e-06,1.0
9,9.317245577835493e-06,1.0
10,9.061415832339057e-06,1.0
